Tahun;Bahan Makanan;Makanan Jadi, Minuman, Rokok, dan Tembakau;Perumahan, Air, Listrik, Gas, dan Bahan Bakar;Sandang;Kesehatan;Pendidikan, Rekreasi, dan Olahraga;Transportasi, Komunikasi, dan Jasa Keuangan;Umum
Juni;3.2;0.41;0.23;0.93;0.06;0.06;0.15;0.97
Mei;0.49;0.34;0.09;1.19;0.11;0.02;0.02;0.29
April;0.33;0.24;0.1;0.14;0.17;0.01;0.04;0.15
Maret;0.91;0.28;0.13;0.01;0.25;0.02;0.07;-0.14
Februari;0.86;0.4;0.2;-0.47;0.18;0.07;0.11;0.3
Januari;1.73;1.93;0.34;-0.2;0.15;0.1;0.16;0.84
2009;3.88;7.81;1.83;6;3.89;3.89;-3.67;2.78
Desember;-0.13;0.93;0.28;0.95;0.2;0.01;0.35;0.33
November;-0.82;0.26;0.15;0.98;0.19;0.13;-0.08;-0.03
Oktober;0.28;0.7;0.24;0.37;0.2;0.34;-0.71;0.19
September;2.43;1.08;0.18;1.28;0.29;0.43;0.89;1.05
September;2.43;1.08;0.18;1.28;0.29;0.43;0.89;1.05
Agustus;1.29;0.73;0.21;0.01;0.35;1.26;-0.02;0.56
Juli;1.14;0.29;0.08;-0.23;0.13;1.21;0.28;0.45
Juni;-0.18;0.29;0.04;0.3;0.23;0.09;0.25;0.11
Mei;-0.25;0.48;0.09;-0.48;0.62;0.07;0;0.04
April;-1.33;0.4;0.12;-1.7;0.34;0.05;0.07;-0.31
Maret;-0.26;0.52;0.2;1.02;0.73;0.06;0.25;0.22
Februari;0.95;0.91;0.28;2.85;0.17;0.04;-2.43;0.21
Januari;0.76;0.95;-0.06;0.55;0.37;0.12;-2.53;-0.07
2008;16.35;12.53;10.92;7.33;7.96;6.66;7.49;11.06
Desember;0.57;0.52;0.52;1.13;0.21;0.16;-2.74;-0.04
November;-0.67;1.13;0.23;0.72;0.37;0.26;-0.31;0.12
Oktober;0.71;0.77;0.24;0.71;0.52;0.39;0.1;0.45
September;1.9;0.94;1.22;0.5;0.36;0.63;0.22;0.97
Agustus;0.94;0.59;0.53;-0.53;0.56;1.36;-0.01;0.51
Juli;1.85;1.07;1.8;0.81;0.71;1.74;0.71;1.37
Juni;1.28;1.33;1.14;0.49;0.83;0.44;8.72;2.46
Mei;1.72;0.86;1.58;-0.16;0.69;0.37;2.23;1.41
April;0.55;0.86;1.62;-0.27;1.88;0.13;-1.18;0.57
